nombretitulo,institucion,niveltitulo
PSICOLOGO CLINICO,UNIVERSIDAD TECNICA DE MACHALA,TERCER NIVEL
MAGISTER EN SEGURIDAD Y SALUD OCUPACIONAL,UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO,CUARTO NIVEL
"MAGISTER EN FONOAUDIOLOGIA CON MENCION EN MOTRICIDAD OROFACIAL, VOZ Y TARTAMUDEZ",PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ,CUARTO NIVEL
MEDICO,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
ESPECIALIZACION EN CIRUGIA Y TRAUMATOLOGIA BUCAL Y MAXILOFACIAL,CENTRO UNIVERSITARIO DO NORTE PAULISTA,CUARTO NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
BIOQUIMICA FARMACEUTICA,UNIVERSIDAD TECNICA DE MACHALA,TERCER NIVEL
QUIMICA Y FARMACEUTICA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
MEDICO,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD NACIONAL DE LOJA,TERCER NIVEL
LICENCIADO EN NUTRICION HUMANA,UNIVERSIDAD ESTATAL DE MILAGRO,TERCER NIVEL
LICENCIADO/A EN PSICOLOGIA CLINICA,UNIVERSIDAD DEL AZUAY,TERCER NIVEL
MEDICA GENERAL,UNIVERSIDAD NACIONAL DE LOJA,TERCER NIVEL
LICENCIADA EN LABORATORIO CLINICO,UNIVERSIDAD NACIONAL DE LOJA,TERCER NIVEL
BIOQUIMICO/A FARMACEUTICO/A,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
PSICOLOGA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
BIOQUIMICO FARMACEUTICO,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
BIOQUIMICA FARMACEUTICA,UNIVERSIDAD TECNICA DE MACHALA,TERCER NIVEL
LICENCIADO/A EN LABORATORIO CLINICO,UNIVERSIDAD NACIONAL DE LOJA,TERCER NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
TECNOLOGO/A SUPERIOR EN REHABILITACION FISICA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD TECNICA DE MACHALA,TERCER NIVEL
LICENCIADO EN ENFERMERIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
MAGISTER EN ANALISIS BIOLOGICO Y DIAGNOSTICO DE LABORATORIO,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,CUARTO NIVEL
LICENCIADO EN ENFERMERIA,UNIVERSIDAD NACIONAL DE LOJA,TERCER NIVEL
MEDICA,UNIVERSIDAD TECNICA DE MACHALA,TERCER NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD NACIONAL DE LOJA,TERCER NIVEL
MAGISTER EN SALUD Y SEGURIDAD OCUPACIONAL MENCION EN PREVENCION DE RIESGOS LABORALES,UNIVERSIDAD DE LOS HEMISFERIOS,CUARTO NIVEL
MAGISTER EN GERENCIA EN SALUD PARA EL DESARROLLO LOCAL,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,CUARTO NIVEL
ESPECIALISTA EN MEDICINA FAMILIAR Y COMUNITARIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,CUARTO NIVEL
BIOQUIMICO FARMACEUTICO,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
MEDICO GENERAL,UNIVERSIDAD NACIONAL DE LOJA,TERCER NIVEL
MASTER UNIVERSITARIO EN DIRECCION Y GESTION SANITARIA,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
MASTER UNIVERSITARIO EN ATENCION TEMPRANA Y DESARROLLO INFANTIL,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
MAGISTER EN ENFERMERIA CON MENCION EN ENFERMERIA ONCOLOGICA,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,CUARTO NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD NACIONAL DE LOJA,TERCER NIVEL
PSICOLOGA,UNIVERSIDAD DE GUAYAQUIL,TERCER NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
ESPECIALISTA EN MEDICINA INTERNA,UNIVERSIDAD DE CUENCA,CUARTO NIVEL
LICENCIADO/A EN LABORATORIO CLINICO,UNIVERSIDAD NACIONAL DE LOJA,TERCER NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
MAGISTER EN ANALISIS BIOLOGICO Y DIAGNOSTICO DE LABORATORIO,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,CUARTO NIVEL
BIOQUIMICO/A FARMACEUTICO/A,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
MAGISTER EN TERAPIA FAMILIAR,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,CUARTO NIVEL
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
